Country,sex,age,data,start_year,end_year,rsq,period
Canada,female,74,"<df[,2]>",1975,1990,0.6884282104252718,1975-1990
Canada,female,74,"<df[,2]>",1975,2018,0.9642193102907569,1975 onwards
Canada,female,74,"<df[,2]>",1991,2018,0.9538063915488612,1991 onwards
Canada,female,75,"<df[,2]>",1975,1990,0.8375479615872293,1975-1990
Canada,female,75,"<df[,2]>",1975,2018,0.9662883044109052,1975 onwards
Canada,female,75,"<df[,2]>",1991,2018,0.9443922281892846,1991 onwards
Canada,female,76,"<df[,2]>",1975,1990,0.8723341958966189,1975-1990
Canada,female,76,"<df[,2]>",1975,2018,0.9696839811483672,1975 onwards
Canada,female,76,"<df[,2]>",1991,2018,0.9599051906637676,1991 onwards
Canada,female,77,"<df[,2]>",1975,1990,0.8273521903436566,1975-1990
Canada,female,77,"<df[,2]>",1975,2018,0.9660620413953147,1975 onwards
Canada,female,77,"<df[,2]>",1991,2018,0.9668616784537435,1991 onwards
Canada,female,78,"<df[,2]>",1975,1990,0.8846288008634547,1975-1990
Canada,female,78,"<df[,2]>",1975,2018,0.9662568355467693,1975 onwards
Canada,female,78,"<df[,2]>",1991,2018,0.9520881461587187,1991 onwards
Canada,female,79,"<df[,2]>",1975,1990,0.8267990204234058,1975-1990
Canada,female,79,"<df[,2]>",1975,2018,0.9560796471040697,1975 onwards
Canada,female,79,"<df[,2]>",1991,2018,0.9625620447352348,1991 onwards
Canada,female,80,"<df[,2]>",1975,1990,0.8367756446977982,1975-1990
Canada,female,80,"<df[,2]>",1975,2018,0.9618408178250637,1975 onwards
Canada,female,80,"<df[,2]>",1991,2018,0.9743708633137466,1991 onwards
Canada,female,81,"<df[,2]>",1975,1990,0.7782646777808782,1975-1990
Canada,female,81,"<df[,2]>",1975,2018,0.9403278488476474,1975 onwards
Canada,female,81,"<df[,2]>",1991,2018,0.9501433140598501,1991 onwards
Canada,female,82,"<df[,2]>",1975,1990,0.7870250970621284,1975-1990
Canada,female,82,"<df[,2]>",1975,2018,0.944605208541108,1975 onwards
Canada,female,82,"<df[,2]>",1991,2018,0.9401855196024074,1991 onwards
Canada,female,83,"<df[,2]>",1975,1990,0.7974623983349329,1975-1990
Canada,female,83,"<df[,2]>",1975,2018,0.9397363816745342,1975 onwards
Canada,female,83,"<df[,2]>",1991,2018,0.9389896816419534,1991 onwards
Canada,female,84,"<df[,2]>",1975,1990,0.8582988009634657,1975-1990
Canada,female,84,"<df[,2]>",1975,2018,0.9351166415489628,1975 onwards
Canada,female,84,"<df[,2]>",1991,2018,0.9274733291145046,1991 onwards
Canada,female,85,"<df[,2]>",1975,1990,0.6799152170238569,1975-1990
Canada,female,85,"<df[,2]>",1975,2018,0.9008855739061922,1975 onwards
Canada,female,85,"<df[,2]>",1991,2018,0.9240003023541188,1991 onwards
Canada,female,86,"<df[,2]>",1975,1990,0.829764844534682,1975-1990
Canada,female,86,"<df[,2]>",1975,2018,0.9235895084444309,1975 onwards
Canada,female,86,"<df[,2]>",1991,2018,0.925471029278199,1991 onwards
Canada,female,87,"<df[,2]>",1975,1990,0.8233372665744704,1975-1990
Canada,female,87,"<df[,2]>",1975,2018,0.87561375107472,1975 onwards
Canada,female,87,"<df[,2]>",1991,2018,0.8776292015434216,1991 onwards
Canada,female,88,"<df[,2]>",1975,1990,0.5284681559706462,1975-1990
Canada,female,88,"<df[,2]>",1975,2018,0.8251579935759028,1975 onwards
Canada,female,88,"<df[,2]>",1991,2018,0.8436128585377698,1991 onwards
Canada,female,89,"<df[,2]>",1975,1990,0.6589172411452761,1975-1990
Canada,female,89,"<df[,2]>",1975,2018,0.8077389117162632,1975 onwards
Canada,female,89,"<df[,2]>",1991,2018,0.8216025344951869,1991 onwards
Canada,female,90,"<df[,2]>",1975,1990,0.6849843116451404,1975-1990
Canada,female,90,"<df[,2]>",1975,2018,0.8267968963906437,1975 onwards
Canada,female,90,"<df[,2]>",1991,2018,0.8399212794706595,1991 onwards
Canada,female,91,"<df[,2]>",1975,1990,0.4649760486814029,1975-1990
Canada,female,91,"<df[,2]>",1975,2018,0.7303278861850028,1975 onwards
Canada,female,91,"<df[,2]>",1991,2018,0.7681121918041595,1991 onwards
Canada,female,92,"<df[,2]>",1975,1990,0.45453365549079955,1975-1990
Canada,female,92,"<df[,2]>",1975,2018,0.7181025941842307,1975 onwards
Canada,female,92,"<df[,2]>",1991,2018,0.7409448687438331,1991 onwards
Canada,female,93,"<df[,2]>",1975,1990,0.3581479563079062,1975-1990
Canada,female,93,"<df[,2]>",1975,2018,0.6065841787515871,1975 onwards
Canada,female,93,"<df[,2]>",1991,2018,0.7134167849184415,1991 onwards
Canada,female,94,"<df[,2]>",1975,1990,0.5231425853222371,1975-1990
Canada,female,94,"<df[,2]>",1975,2018,0.5750726945584931,1975 onwards
Canada,female,94,"<df[,2]>",1991,2018,0.6356101702134137,1991 onwards
Canada,female,95,"<df[,2]>",1975,1990,0.02012175877021074,1975-1990
Canada,female,95,"<df[,2]>",1975,2018,0.3671274011981635,1975 onwards
Canada,female,95,"<df[,2]>",1991,2018,0.5092105950838717,1991 onwards
