code,year,sex,e0,Country,ch_e0
JPN,2013,male,80.22,Japan,0.28000000000000114
GBR_NP,2013,male,79,United Kingdom,0.04000000000000625
USA,2013,male,76.56,USA,0.010000000000005116
CAN,2014,female,83.98,Canada,0.10000000000000853
FRATNP,2014,female,85.43,France,0.39000000000000057
JPN,2014,female,86.81,Japan,0.21000000000000796
GBR_NP,2014,female,82.99,United Kingdom,0.21999999999999886
USA,2014,female,81.44,USA,0.09000000000000341
CAN,2014,male,79.81,Canada,0.04999999999999716
FRATNP,2014,male,79.27,France,0.5
JPN,2014,male,80.51,Japan,0.29000000000000625
GBR_NP,2014,male,79.25,United Kingdom,0.25
USA,2014,male,76.62,USA,0.060000000000002274
CAN,2015,female,84.03,Canada,0.04999999999999716
FRATNP,2015,female,85.14,France,-0.29000000000000625
JPN,2015,female,87.02,Japan,0.20999999999999375
GBR_NP,2015,female,82.72,United Kingdom,-0.269999999999996
USA,2015,female,81.32,USA,-0.12000000000000455
CAN,2015,male,79.94,Canada,0.12999999999999545
FRATNP,2015,male,79.02,France,-0.25
JPN,2015,male,80.78,Japan,0.269999999999996
GBR_NP,2015,male,79.04,United Kingdom,-0.20999999999999375
USA,2015,male,76.46,USA,-0.1600000000000108
CAN,2016,female,84.18,Canada,0.15000000000000568
FRATNP,2016,female,85.32,France,0.1799999999999926
JPN,2016,female,87.17,Japan,0.15000000000000568
GBR_NP,2016,female,82.84,United Kingdom,0.12000000000000455
USA,2016,female,81.37,USA,0.05000000000001137
CAN,2016,male,80.05,Canada,0.10999999999999943
FRATNP,2016,male,79.32,France,0.29999999999999716
JPN,2016,male,81.01,Japan,0.23000000000000398
GBR_NP,2016,male,79.18,United Kingdom,0.14000000000000057
USA,2016,male,76.37,USA,-0.0899999999999892
FRATNP,2017,female,85.28,France,-0.03999999999999204
JPN,2017,female,87.31,Japan,0.14000000000000057
USA,2017,female,81.38,USA,0.009999999999990905
FRATNP,2017,male,79.44,France,0.12000000000000455
JPN,2017,male,81.13,Japan,0.11999999999999034
USA,2017,male,76.32,USA,-0.05000000000001137
